sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières clignotaient.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","C'est pas sûr près du rivage en ce moment, mais je connais bien la zone, a dit Mesa."
Chapter 10,Chapitre 10,Chapitre 10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Mais bon, avec la force de la tempête, c'était un vrai miracle qu'il n'y ait eu que deux fenêtres cassées dans tout le bâtiment."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si c'était différent, il lui aurait proposé un rendez-vous ou trois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me retourne sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Même si on peut imaginer qu'il y ait une grande roue à Paris, on pourrait l'appeler la tour Eiffel"
"""I know the area you are talking about.",Je connais le coin dont tu parles.,je connais le coin dont tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Les mots sortent dans un souffle frétillant parce que John baisse la tête vers ma peau, ses lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,T'es pas là d'habitude le samedi
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il s'est retiré, il a bougé ses hanches plus lentement, la prenant avec des mouvements lents pour pouvoir profiter de chaque glissement en elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","t'as pas à me donner d'explications, John"
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ils n'avaient rien à gagner.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Au début, j'étais contente qu'il fasse tout pour ne pas me déranger pendant mes quarts de travail, mais maintenant, je me sens un peu mise à l'écart."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craquait et se fendait. Même s'il ne pouvait pas le voir, il savait que le toit du bar était sur le point de s'effondrer, avec des bardeaux qui allaient sûrement voler partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Assure-toi qu'elle prenne ses médocs, qu'elle se repose et qu'elle change son pansement"
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","« Tire-toi d'ici, Mari », a crié Chase."
