sources,references,translations
Chapter 34,Chapitre 34,Chapitres 34
"His fingers tweak one of my nipples, and I moan into yet another kiss.",Ses doigts titillent l'un de mes mamelons et je gémis dans un nouveau baiser.,"Ses doigts pincent l'un de mes tétons, et je gémis dans un autre baiser."
"God, that felt so fucking good.","Mon Dieu, que ça faisait du bien.","Putain, c'était tellement bon."
But he wasn't good at that kind of thing.,Mais il n'était pas doué pour ce genre de choses.,Mais il n'était pas doué pour ce genre de choses.
"I don't only mean the millions of songs in the digital archive, someone in the station's history had hoarded vinyl like it was going out of style.","Je ne parle pas seulement des millions de chansons contenues dans les archives numériques, mais du fait qu'une personne, dans l'histoire de la station, ait accumulé des vinyles comme si c'était démodé.","Je ne parle pas seulement des millions de chansons dans les archives numériques, quelqu'un dans l'histoire de la station avait accumulé des disques vinyles"
"After maneuvering around a few tables, he laid her on the corner couch.","Après avoir contourné quelques tables, il l'allongea sur le canapé du coin.","Après avoir manœuvré autour de quelques tables, il l'allongea sur le canapé d'angle."
I hum the line to him and search his face for recognition.,Je lui fredonne le morceau et cherche sur son visage pour voir s'il a reconnu la mélodie.,Je fredonne la ligne pour lui et je cherche sur son visage un signe de reconnaissance.
"""Do you think it will ever go away?",Penses-tu que cela disparaîtra un jour ?,Penses-tu que cela disparaîtra un jour ?
"Any other day, his eye contact would be filed in the fantasy category called ""replay.""","N'importe quel autre jour, son contact visuel aurait été catalogué dans l'esprit de Mari dans la catégorie des fantasmes appelée ""replay"".","Un autre jour, son contact visuel serait classé dans la catégorie fantaisie appelée ""replay""."
"""Such a cynic, you are.""",Tu es un vrai cynique.,"""Tu es vraiment cynique."""
Too relieved to be inside the circle of his embrace again to fight it.,Je suis trop soulagé d'être à nouveau dans le cercle de son étreinte pour lutter.,Trop soulagée d'être de nouveau dans le cercle de ses bras pour le combattre.
Not my John.,Pas mon John.,Pas mon John.
"I debate driving back down to Philly, even though it's not a good idea in my current frame of mind.","J'envisage de retourner à Philadelphie en voiture, même si ce n'est pas une bonne idée dans l'état d'esprit où je me trouve.","Je débat de retourner à Philly en voiture, même si ce n'est pas une bonne idée dans mon état d'esprit actuel."
"And even though the sea held darkness, the land did too.","Et même si la mer contenait des ténèbres, la terre en contenait aussi.","Et même si la mer abritait l'obscurité, la terre aussi."
"But you all don't care about that, you have a juicy story for your ratings and your newspapers.","Mais vous vous en moquez tous, vous avez une histoire juteuse pour vos audiences et vos journaux.","Mais vous ne vous en souciez pas, vous avez une histoire juteuse pour vos audiences et vos journaux."
"Sunset was near, though it was impossible to tell with the blossoming of dark clouds across the sky.","Le coucher du soleil était proche, même s'il était impossible de le deviner avec l'éclosion de nuages sombres dans le ciel.","Le coucher du soleil était proche, bien qu'il fût impossible de le dire avec l'épanouissement des nuages sombres dans le ciel."
"And besides, pirates didn't have coffee with cream and sugar.","Et puis, les pirates ne prenaient pas de café avec de la crème et du sucre.","Et puis, les pirates ne buvaient pas de café avec de la crème et du sucre."
She dropped her clothes on the sand and placed a rock on them to keep them from blowing away then glanced at Inna.,"Elle laissa tomber ses vêtements sur le sable et posa une pierre dessus pour les empêcher de s'envoler, puis jeta un coup d'œil à Inna.","Elle a laissé tomber ses vêtements sur le sable et a placé une pierre dessus pour les empêcher de s'envoler, puis a jeté un coup"
