sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières vacillaient.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça ne fait pas de bon près des côtes pour l'instant, mais je connais bien l'endroit, répondit Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça, c'était un miracle, même si la tempête avait été violente, car il n'y avait que deux fenêtres cassées dans tout le bâtiment."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses étaient différentes, il aurait demandé à sortir avec elle ou trois fois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça, on pourrait imaginer qu'il y ait une grande roue à Paris, mais on pourrait aussi la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,"Ça me fait rire, je connais bien l'endroit que tu parles."
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Ça sort sur un soupir, car John baissé la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas d'habitude de venir samedi.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il roula ses hanches plus lentement, la prenant avec des coups de bâton lents pour pouvoir savourer chaque retour à l'intérieur d'elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne t'oblige pas à m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur apportait rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a fait plaisir au début qu'il n'ait pas fait de bruit pendant mes déplacements, mais maintenant je me sens un peu laissé de côté."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craqua et se fendit, mais il ne pouvait pas le voir, il savait que le toit du bar était sur le point de s'effacer, les tuiles volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Ça fait bien, assure-toi qu'elle prend ses médicaments, qu'elle se reposent et qu'elle change de bandage."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça va, Mari, crie Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Ça ne lui allait pas faire de mal de le suivre.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Ça me fait si ouvert à lui, si désireux de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça ressemble à un déjà-vu si jamais j'en ai eu un.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.",Ça fait partie de mon rapport avec quelqu'un d'être là pour partager les bonheurs et les maux.
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça fait beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Ça me permet d'échapper avec peu d'efforts.
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.","Ça faisait des kilomètres, et à certains endroits, l'île était si étroite que vous pouviez jeter une pierre du côté du bruit jusqu'aux vagues."
"""When I finish up here.",Quand j'aurai fini ici.,Ça va finir ici.
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,Ça aurait fallu qu'elle ait l'esprit d'un loup pour s'attendre à ce que sa fille se marie avec quelqu'un comme Inna.
A real kiss.,Un vrai baiser.,"Ça, c'était un vrai baiser."
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis d'obtenir mon poste de disc jockey.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","Ça ne peut pas être ! répondit-il hystériquement, ce qui le fit soupirer lourdement alors qu'il descendait et attrapait la couette et la retirait lentement de la femme qui refusait de quitter l'hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,Ça avait été plus effrayant que ce qu'elle avait jamais vécu.
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,Ça a été ce jour-là qu'il était là lorsqu'elle avait croisé les plongeurs.
"""Amelia never remarried but lived on the bounty Christopher had stored and hidden on the island.",Amelia ne s'est jamais remariée mais a vécu grâce à la prime que Christopher avait stockée et cachée sur l'île.,"Amelia ne s'est jamais remariée, mais elle a vécu grâce à la réserve de nourriture que Christopher avait stockée et cachée sur l'île."
"""Only bloody thing they ever gave me,"" I murmur.","C'est la seule chose qu'ils m'aient jamais donnée , murmuré-je.","Ça fait un seul objet qu'ils m'aient donné, murmuré-je."
"""Tell me you didn't, please!""","Dis-moi que tu ne l'as pas fait, s'il te plaît !","Ça ne t'est pas arrivé, dis-moi, s'il te plaît !"
"The wind whipped by, catching the hem of his T-shirt in a flutter, exposing his firm abdomen for a too-brief moment.","Le vent soufflait en trombe, faisant voltiger l'ourlet de son tee-shirt, dévoilant son abdomen ferme pendant un trop bref instant.","L'air s'emporta, attrapant le bord de son t-shirt dans un flottement, exposant son abdomen ferme pendant un instant trop court."
"You never would.""",Tu ne le ferais jamais.,Ça ne te serait jamais passé par la tête.
Then they were separatedpossibly foreverto save her life.,Puis ils ont été séparés  peut-être pour toujours  afin de lui sauver la vie.,Ça les sépara  peut-être pour toujours  pour sauver sa vie.
"""I would probably quake in fear for the rest of my life at the mere mention of your name,"" Devyn said dryly as he watched her return to glaring at him as she hastily toed off her slippers and kicked them aside, determined to make sure that he was properly terrified.","Je tremblerais probablement de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn d'un ton moqueur en la regardant se remettre à le fixer du regard tandis qu'elle enlevait précipitamment ses pantoufles et les écartait d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié.","Ça me ferait probablement trembler de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn sèchement en la regardant retourner à glacer de lui un regard, avant de se détacher rapidement de ses mocassins et de les jeter de côté, déterminée à s'assurer qu'il était bien effrayé."
"It was water, nothing more.","C'était de l'eau, rien de plus.","Ça était de l'eau, rien de plus."
"""Probably.""",Probablement.,Ça va probablement.
"""Well, I don't think your brother would approve of you picking up and leaving the bar and everything you built here together.",Je ne pense pas que ton frère approuverait que tu prennes tes affaires et que tu quittes le bar et tout ce que vous avez construit ici ensemble.,"Ça, je ne pense pas que ton frère ait approuvé de te lever et de quitter le bar et tout ce que tu as construit ici ensemble."
"Let's start tonight.""",Commençons ce soir.,Ça commence ce soir.
"I claim the right.""",Je revendique ce droit.,Ça me revient de dire.
"In the new sunlight, he saw her body jerk and twitch.","Dans la nouvelle lumière du soleil, il vit son corps tressaillir et se contracter.","Dans le nouveau soleil, il vit son corps se jerker et se contorsionner."
"She was by the ocean, making her own way, despite her mother.","Elle était au bord de l'océan, traçant son propre chemin, malgré sa mère.","Ça faisait des années qu'elle était près de l'océan, qu'elle faisait ce qu'elle voulait, malgré sa mère."
"""No, I'm not because I'm not going,"" Andi said with a firm nod as Uncle Shawn placed her back on her chair as she did her best to ignore the curious stares being sent her way by the kids that never seemed to appreciate her efforts to teach them the fundamentals of advanced algebra.","Non, parce que je n'irai pas en CM1, dit Andi en hochant fermement la tête alors qu'Oncle Shawn l'asseyait sur une chaise et qu'elle faisait son possible pour ignorer les regards curieux que lui lançaient les enfants qui n'appréciaient jamais ses efforts pour leur enseigner les bases en calcul avancé.","Ça ne me regarde pas, car je ne vais pas y aller, dit Andi avec un hochement de tête ferme alors que Oncle Shawn la remettait sur son siège, alors qu'elle faisait de son mieux pour ignorer les regards curieux des enfants qui ne semblaient jamais apprécier ses efforts pour leur enseigner les bases de l'algèbre avancée."
"Air whooshes out of my lungs and the fuzzy feeling in my head, which I hadn't even noticed, fades.","L'air s'échappe de mes poumons et la sensation de flou dans ma tête, que je n'avais même pas remarquée, s'estompe.","Ça s'évacue de mes poumons et la sensation floue dans ma tête, que je n'avais même pas remarquée, s'estompe."
"""I was thinking,"" he says, rolling to his back after we catch our breath.","J'étais en train de réfléchir, dit-il en se mettant sur le dos après que nous ayons repris notre souffle.","Ça m'est venu à l'esprit, dit-il en se retournant sur le dos après que nous ayons respiré."
"""I left the candle on the vanity, and there's a lighter beside it.""","J'ai laissé la bougie sur le meuble, et il y a un briquet à côté.","Ça y est, je laisse la bougie sur le bureau de toilette et il y a une allumette à côté."
"""This way I get some time between school and the work I do for you guys at the station.""","...Comme ça, j'ai un peu de temps entre l'école et le travail que je fais pour vous à la station radio.",Ça me donne du temps entre l'école et le travail que je fais pour vous à la station.
I hope that you enjoyed reading Devyn and Andi's story as much as I enjoyed writing it.,J'espère que vous avez pris autant de plaisir à lire l'histoire de Devyn et Andi que j'ai eu à l'écrire.,Je espère que tu as aimé lire l'histoire de Devyn et d'Andi autant que je l'ai aimée écrire.
Your mother sent me.,C'est ta mère qui m'envoie.,Ça vient de ta mère.
Like he's been comfortable in the pool but is ready to step into the ocean.,Comme s'il était assez à l'aise dans la piscine et qu'il était prêt à aller dans l'océan.,"Ça lui a plu de se baigner dans la piscine, mais il est prêt à entrer dans l'océan."
She stared at the flickering candles.,Elle fixa les bougies vacillantes.,Elle fixa les bougies qui s'éteignaient et s'allumaient.
"I feel the stinging pressure of his teeth on the hardening nub before he sits back, running his hands along my chest and abdomen.","Je sens la morsure cuisante de ses dents sur mon téton qui durcit avant qu'il ne s'assoie, passant ses mains le long de ma poitrine et de mon abdomen.","Je sens la pression douloureuse de ses dents sur le bouton qui durcit avant qu'il ne se redresse, passant ses mains sur mon torse et mon abdomen."
John leans back in his chair and takes a swig of his beer.,John s'adosse à sa chaise et boit une gorgée de sa bière.,John se penche en arrière dans son fauteuil et boit une gorgée de bière.
"""I thought we were more,"" he said.","Je pensais que nous étions plus que ça, dit-il.","Ça m'a fait penser que nous étions plus, dit-il."
She was crawling on top of him and laying her head on his chest with a soft sigh as he wrapped his arms around her and couldn't help but feel like she was exactly where she belonged.,"Elle se glissa sur lui et posa sa tête sur sa poitrine en soupirant doucement, tandis qu'il l'entourait de ses bras et ne pouvait s'empêcher de penser qu'elle était exactement à sa place.","Ça lui faisait plaisir de se laisser tomber sur lui et de poser sa tête sur son torse avec un doux soupir, tandis qu'il l'entourait de ses bras et ne pouvait s'empêcher de se dire qu'elle était exactement où elle devait être."
I have to jog to catch up.,Je dois trottiner pour le rattraper.,Ça me faut de courir pour rattraper le rythme.
"If we don't hurry, we're going to get caught in the dark.""","Si on ne se dépêche pas, on va se faire surprendre par l'obscurité.","Ça fait trop chaud, si nous ne faisons pas de hâte, nous allons être pris au piège dans l'obscurité."
Mari's tail twitched in excitement.,La queue de Mari s'agita sous l'effet de l'excitation.,Ça fait pousser la queue de Mari de joie.
Were better left forgotten.,Il vaut mieux les oublier.,Ça vaut mieux oublier.
"I should've told you about Inna, but I didn't expect to see him here on the islandnot after the storm, and certainly not while I was with you.","J'aurais dû te parler d'Inna, mais je ne m'attendais pas à le voir ici sur l'île  pas après la tempête, et certainement pas pendant que j'étais avec toi. Je ne l'épouserai pas, quoi qu'il arrive.","Ça aurait dû être dit, mais je n'avais pas prévu de le voir ici sur l'île, pas après la tempête, et certainement pas pendant que je te suis accompagné."
"""Yeah?"" I'm logging my playlist, trying to keep my focus off our proximity to one another.","J'enregistre ma playlist, en essayant de ne pas me concentrer sur notre proximité.",Ça va ?
"By the time enough merfolk had gathered to save her, the pirate ship was gone, harbored somewhere, no doubt.","Le temps que suffisamment d'habitants des mers se rassemblent pour la sauver, le bateau pirate avait disparu, sans doute caché quelque part.","Ça faisait déjà assez de temps que suffisamment de créatures marines étaient réunies pour la sauver, mais le navire pirate était déjà parti, caché quelque part, sans doute."
Did her mother know about the revenge plot?,Sa mère était-elle au courant du projet de vengeance ?,Ça faisait-il partie du plan de vengeance ?
"""You don't know that,"" came the sadly mumbled reply that had his lips twitching.","Tu n'en sais rien, marmonnant tristement la jeune femme entre ses lèvres, ce qui le fit sourire","Ça ne t'est pas arrivé, répondit-il tristement, ce qui fit trembler ses lèvres."
"He'd never understood why Devyn didn't play the same game, probably never would, and now that he knew about Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas le même jeu, pourquoi il ne le ferait probablement jamais, et maintenant qu'il savait pour Andi...","Ça ne l'avait jamais étonné que Devyn ne jouât pas le même jeu, probablement qu'il ne le ferait jamais, et maintenant qu'il savait que c'était Andi..."
The urge to possess her thrummed through him to the point he could barely think.,L'envie de la posséder l'envahissait à tel point qu'il avait du mal à réfléchir.,L'envie de la posséder le traîna dans son corps jusqu'à ce qu'il ne puisse plus penser.
"""You should check the supply closet.""",Tu devrais vérifier le placard à fournitures.,Ça te faut vérifier le fourneau.
I'm telling you what I need.,Je te dis ce dont j'ai besoin.,"Ça, c'est ce que je veux."
Want to get to know you.,Je veux apprendre à te connaître.,Ça veut dire que je veux te connaître.
His face brightens.,Son visage s'éclaire.,Son visage s'illumine.
Why would he risk that for either of them?,Pourquoi risquerait-il cela pour l'un ou l'autre ?,Ça pourquoi risquerait-il ça pour l'un ou l'autre ?
Best not to think about that at all.,Mieux valait ne pas y penser.,Ça ne vaut pas la peine de penser à ça.
"There are several articles about the football team, one about the debate team.","Il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat.","Ça y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat."
