sources,references,translations
Chapter 34,Chapitre 34,Chapitre 34
"His fingers tweak one of my nipples, and I moan into yet another kiss.",Ses doigts titillent l'un de mes mamelons et je gémis dans un nouveau baiser.,"Ses doigts pincent un de mes tétons, et je gémis dans un autre baiser."
"God, that felt so fucking good.","Mon Dieu, que ça faisait du bien.","Bon sang, c'était trop bon."
But he wasn't good at that kind of thing.,Mais il n'était pas doué pour ce genre de choses.,Mais il n'était pas doué pour ce genre de trucs.
"I don't only mean the millions of songs in the digital archive, someone in the station's history had hoarded vinyl like it was going out of style.","Je ne parle pas seulement des millions de chansons contenues dans les archives numériques, mais du fait qu'une personne, dans l'histoire de la station, ait accumulé des vinyles comme si c'était démodé.","Je ne parle pas seulement des millions de chansons dans les archives numériques, mais aussi du fait que quelqu'un dans l'histoire de la station avait collectionné des vinyles comme si c'était la fin du monde."
"After maneuvering around a few tables, he laid her on the corner couch.","Après avoir contourné quelques tables, il l'allongea sur le canapé du coin.","Après avoir contourné quelques tables, il l'allongea sur le canapé d'angle."
I hum the line to him and search his face for recognition.,Je lui fredonne le morceau et cherche sur son visage pour voir s'il a reconnu la mélodie.,Je lui fredonne la phrase et scrute son visage pour voir s'il reconnaît.
"""Do you think it will ever go away?",Penses-tu que cela disparaîtra un jour ?,tu penses que ça va finir par passer ?
"Any other day, his eye contact would be filed in the fantasy category called ""replay.""","N'importe quel autre jour, son contact visuel aurait été catalogué dans l'esprit de Mari dans la catégorie des fantasmes appelée ""replay"".","N'importe quel autre jour, son regard aurait été classé dans la catégorie fantaisiste appelée « replay »"
"""Such a cynic, you are.""",Tu es un vrai cynique.,t'es vraiment cynique
Too relieved to be inside the circle of his embrace again to fight it.,Je suis trop soulagé d'être à nouveau dans le cercle de son étreinte pour lutter.,Trop soulagé d'être à nouveau dans ses bras pour lutter contre ça.
Not my John.,Pas mon John.,Pas mon John.
"I debate driving back down to Philly, even though it's not a good idea in my current frame of mind.","J'envisage de retourner à Philadelphie en voiture, même si ce n'est pas une bonne idée dans l'état d'esprit où je me trouve.","Je me demande si je vais retourner à Philadelphie, même si ce n'est pas une bonne idée vu mon état d'esprit actuel."
