sources,references,translations
Chapter 34,Chapitre 34,"34

Chapter 34

“I’m sorry, but I can’t do this anymore.”

“What"
"His fingers tweak one of my nipples, and I moan into yet another kiss.",Ses doigts titillent l'un de mes mamelons et je gémis dans un nouveau baiser.," Ses doigts pincent un de mes seins, et je gémis dans un autre baiser."
"God, that felt so fucking good.","Mon Dieu, que ça faisait du bien.","Ô mon Dieu, cela a été si bon.

English: I'm not sure I can do this.
French:"
But he wasn't good at that kind of thing.,Mais il n'était pas doué pour ce genre de choses., Mais il n'était pas bon à cela.
"I don't only mean the millions of songs in the digital archive, someone in the station's history had hoarded vinyl like it was going out of style.","Je ne parle pas seulement des millions de chansons contenues dans les archives numériques, mais du fait qu'une personne, dans l'histoire de la station, ait accumulé des vinyles comme si c'était démodé.","Ça ne veut pas dire que j'ai pas écouté des millions de chansons dans l'archive numérique, mais"
"After maneuvering around a few tables, he laid her on the corner couch.","Après avoir contourné quelques tables, il l'allongea sur le canapé du coin."," Après avoir déjoué quelques tables, il l'a posée sur le canapé à coin."
I hum the line to him and search his face for recognition.,Je lui fredonne le morceau et cherche sur son visage pour voir s'il a reconnu la mélodie., Je chante la ligne à son égard et cherche son visage pour reconnaître la mélodie.
"""Do you think it will ever go away?",Penses-tu que cela disparaîtra un jour ?,"Ça ne disparaîtra jamais ?

English: ""I'm not sure.
French: Je ne sais pas."
"Any other day, his eye contact would be filed in the fantasy category called ""replay.""","N'importe quel autre jour, son contact visuel aurait été catalogué dans l'esprit de Mari dans la catégorie des fantasmes appelée ""replay"".","Être avec lui, c'était un rêve.
English: ""I'm not sure I'm ready to be with someone"
"""Such a cynic, you are.""",Tu es un vrai cynique.,"Ça fait un cynique, toi.
English: ""I'm not a cynic.""
French: Je ne"
Too relieved to be inside the circle of his embrace again to fight it.,Je suis trop soulagé d'être à nouveau dans le cercle de son étreinte pour lutter.,Être trop soulagé d'être à nouveau dans le cercle de son bras pour se battre contre ça.
Not my John.,Pas mon John.,"Ça n'est pas mon Jean.

Ça n'est pas mon Jean"
"I debate driving back down to Philly, even though it's not a good idea in my current frame of mind.","J'envisage de retourner à Philadelphie en voiture, même si ce n'est pas une bonne idée dans l'état d'esprit où je me trouve."," Je débatre de retourner à Philly, même si c'est une mauvaise idée dans mon état actuel d"
"And even though the sea held darkness, the land did too.","Et même si la mer contenait des ténèbres, la terre en contenait aussi."," Et même si la mer était sombre, la terre l'était aussi.
English: And even though the sea held darkness, the land"
"But you all don't care about that, you have a juicy story for your ratings and your newspapers.","Mais vous vous en moquez tous, vous avez une histoire juteuse pour vos audiences et vos journaux."," Mais vous n'avez pas vraiment envie de parler de ça, vous avez une histoire juteuse pour v"
"Sunset was near, though it was impossible to tell with the blossoming of dark clouds across the sky.","Le coucher du soleil était proche, même s'il était impossible de le deviner avec l'éclosion de nuages sombres dans le ciel."," Le soleil s'approchait, bien que cela soit impossible à déterminer avec la prolifération de nuages sombres dans"
"And besides, pirates didn't have coffee with cream and sugar.","Et puis, les pirates ne prenaient pas de café avec de la crème et du sucre.","Ça ne fait pas que les pirates n'aient pas bu du café au lait sucré.
English: And besides, pir"
She dropped her clothes on the sand and placed a rock on them to keep them from blowing away then glanced at Inna.,"Elle laissa tomber ses vêtements sur le sable et posa une pierre dessus pour les empêcher de s'envoler, puis jeta un coup d'œil à Inna.", Elle avait déposé ses vêtements sur le sable et avait posé une pierre dessus pour les empêcher de s'
"He wraps his arms around me, one across my collar and one around my chest, and it feels so damned good.","Il m'entoure de ses bras, l'un autour de mon cou et l'autre autour de ma poitrine, et c'est tellement bon."," Il enroule ses bras autour de moi, l'un sur mon col et l'autre autour de mon torse, et"
He pulls out a Steely Dan.,Il sort un vinyle de Steely Dan.,"Ça fait un peu de temps que je n'ai plus entendu Steely Dan.
English: He pulls out a Steely Dan"
"He'd used her weakness against her, something that she would not forget.",Il avait utilisé sa faiblesse contre elle ;,"Ça lui avait servi de bâton pour la frapper, chose qu'elle ne lui pardonnerait jamais."
Quivering like a pair of virgin teenagers.,Frémissant comme deux ados puceaux.,"Ça tremble comme deux jeunes filles vierges.

English: I’m not sure I’m ready for this.
"
The rain was picking up and it wouldn't be long until it was constant.,La pluie s'intensifia et ne tardera pas à devenir continue.," La pluie commençait à s'intensifier et elle ne serait pas loin d'être constante.
English"
The dune grass bent almost horizontally to the ground and clouds of sand rolled down the beach like tumbleweeds.,L'herbe des dunes se courbaient presque horizontalement vers le sol et des nuages de sable roulaient sur la plage comme des chenilles., Les herbes de dune se penchaient presque horizontalement au sol et des nuages de sable roulaient le long de la
"Mesa turned to walk away, then stopped and looked back.","Mesa se tourna pour s'éloigner, puis s'arrêta et se retourna."," Mesa se tourna pour partir, puis s'arrêta et regarda de nouveau.
English: Mesa turned to walk away,"
"""It's a great offer,"" he added.","C'est une excellente offre, ajouta-t-il.","Ça fait un très bon offre, a ajouté-t-il."
"I watch him through the double-paned glass of the booth, and I can hear him through the open door.",Je le regarde à travers le double vitrage de la cabine et je l'entends par la porte ouverte.," Je le regarde à travers les deux panneaux de verre du coin, et je le peux entendre à travers la porte ou"
"""I have a reservation for Andi Dawson,"" Andi said with a satisfied sigh as she reached for her credit card only to end up grumbling when Devyn narrowed his eyes on her until she put it away.","J'ai une réservation au nom d'Andi Dawson, dit Andi avec un soupir de satisfaction en tendant sa carte de crédit, mais elle finit par grommeler quand Devyn la fixa, les yeux plissés  jusqu'à ce qu'elle la range."," Andi a réservé une table pour Andi Dawson, dit-elle avec un souffle de soulagement en atteignant"
