sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières flamboyaient.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","C'est dangereux près de la côte actuellement, mais je connais bien l'endroit, a déclaré Mesa."
Chapter 10,Chapitre 10,Chapitre 10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Toutefois, il semblait miraculeux que seules deux fenêtres cassées soient présentes dans tout le lieu, compte tenu de la violence de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses étaient différentes, il l'aurait invitée en sortie ou en trois occasions."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur mon ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Bien que nous puissions imaginer qu'il y a une roue de chaise volante à Paris, nous pourrions la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Je connais l'endroit que tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Les mots sortent sur un soupir hésitant car John abaisse la tête sur ma peau, lèvres qui glissent sur l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Vous n'êtes généralement pas le samedi.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il recula, il roula ses hanches plus lentement, l'emmenant avec des coups lents pour pouvoir goûter chaque glissade à l'intérieur d'elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","""Tu ne m'obliges pas à donner une explication, Jean."""
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ils n'avaient rien à gagner.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Je suis resté reconnaissant au départ qu'il s'est détourné de son chemin pour ne pas être une distraction pendant mes changements de shifts, mais maintenant je me sens un peu isolé."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craquait et se fissurait, bien que lui ne puisse pas le voir, il savait que la toiture de la barre était presque en train de se détacher, les tuiles probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Assurez-vous qu'elle prenne ses médicaments, qu'elle se reposse et qu'elle change son pansement."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","""Sorts-en ici, Mari,"" a crié Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Et il ne pouvait pas non plus s'échapper avec la harcèlement de quelqu'un.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Je suis si ouvert à lui, si impatient de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,C'est un moment de déjà vu s'il en ai jamais eu un.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Quand je suis avec quelqu'un, je veux partager le bien et le mal."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","""Vous avez beaucoup de musique des années 80 ici,"" constate John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Je peux fuir avec peu de peine.
