sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières ont vacillé.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","« Ce n’est pas sûr près du rivage en ce moment, mais je connais bien la zone », a déclaré Mesa."
Chapter 10,Chapitre 10,Chapitre 10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Pourtant, avec la violence de la tempête, n’avoir que deux vitres brisées dans tout l’endroit tenait du miracle."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses avaient été différentes, il l’aurait invitée à un rendez-vous, ou trois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me retourne sur le ventre avec une aisance qui m'étonne.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Bien qu'on puisse imaginer qu'il y ait une grande roue à Paris, on pourrait l'appeler la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Je connais le quartier dont tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Les mots sortent dans un souffle tremblant quand John baisse la tête vers ma peau, ses lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Tu n'es pas habituellement là le samedi.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il fit rouler ses hanches plus lentement, la pénétrant par des coups lents pour savourer chaque glissement en elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Tu ne me dois aucune explication, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ils n’avaient rien à y gagner.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Au début, j’étais reconnaissante qu’il ait fait des efforts pour ne pas me distraire pendant mes services, mais maintenant, je me sens un peu mise à l’écart."
